movieId,polishTitle,originalTitle,year,fullRating,voteCount
104228,Dywan,Gabbeh,1996,7.00455,440
31900,Luźny gość,Freddy Got Fingered,2001,5.61926,6448
138687,Karta z kroniki szaleństwa,Kurutta ippêji,1926,7.233,897
118680,Kelnerzy,Waiting...,2005,6.50352,20740
734407,Victoria,Victoria,2015,7.18403,14579
123078,Harfa birmańska,Biruma no Tategoto,1956,7.65963,1516
5541,Faraon,Faraon,1965,7.39843,19667
1468,Matka Joanna od Aniołów,Matka Joanna od Aniołów,1961,7.76565,18558
322696,Żywot Matsuko,Kiraware Matsuko no Isshō,2006,7.77023,618
37826,Dajcie mi głowę Alfredo Garcii,Bring Me the Head of Alfredo Garcia,1974,7.08533,2625
9819,Nędzne psy,Straw Dogs,1971,7.43069,9183
34019,Konwój,Convoy,1978,7.22542,13149
783195,Ghost Story,A Ghost Story,2017,6.61504,21527
302429,Listy z Iwo Jimy,Letters from Iwo Jima,2006,7.58005,36559
31093,Wehikuł czasu,The Time Machine,2002,6.74906,41069
476220,Piąty wymiar,Triangle,2009,6.39838,28227
1503,Reich,Reich,2001,6.2679,25860
114802,Playtime,Playtime,1967,7.24868,2457
474573,Black Dynamite,Black Dynamite,2009,7.19252,6233
475937,W chmurach,Up in the Air,2009,6.8607,91611
200116,Most do Terabithii,Bridge to Terabithia,2007,7.30906,120363
7495,Made in Britain,Made in Britain,1982,6.72611,2187
303289,Chodźmy do paki,Let's Go to Prison,2006,6.45408,10137
108122,EuroTrip,EuroTrip,2004,6.86084,202121
348039,Hashire Melos!,Hashire Melos!,1992,7.625,8
94616,Pokój o grubych ścianach,Kabe atsuki heya,1956,6.50847,59
12054,Złote czasy radia,Radio Days,1987,7.36524,9632
106306,Waleria i tydzień cudów,Valerie a týden divů,1970,7.21361,4569
30828,Satyricon,Fellini - Satyricon,1969,7.10339,2776
11827,Wystarczy być,Being There,1979,7.49295,6593
10032679,Monster,Kaibutsu,2023,7.32228,12123
8966,Przypadek Pekosińskiego,Przypadek Pekosińskiego,1993,6.71739,1196
6527,Jak być kochaną,Jak być kochaną,1962,7.88531,13515
480366,Idol z piekła rodem,Get Him to the Greek,2010,6.05254,22934
471638,Dear Zachary: A Letter to a Son About His Father,Dear Zachary: A Letter to a Son About His Father,2008,7.64624,1289
119885,Film o pszczołach,Bee Movie,2007,6.41159,67283
10018921,Ślepa wierzba i śpiąca kobieta,"Saules aveugles, femme endormie",2022,6.53077,260
173274,Tony Takitani,Tony Takitani,2004,7.08771,1790
101004,Furman śmierci,Körkarlen,1921,7.78757,5150
119162,Wampir,Vampyr - Der Traum des Allan Grey,1932,7.08736,2049
1278,Pokój z widokiem,A Room with a View,1985,7.2569,12857
112984,Ciemności,Tenebre,1982,6.43775,3189
37601,Głęboka czerwień,Profondo rosso,1975,7.12107,7450
178185,Perdues dans New York,Perdues dans New York,1989,6.29839,124
10006331,Fresh,Fresh,2022,6.58995,15181
10039484,Wytłumaczenie wszystkiego,Magyarázat mindenre,2023,6.92767,2461
556191,Hamlet,Hamlet,2009,8.0641,1841
6020,Hamlet,Hamlet,1996,7.81027,9171
10041252,Sirocco i Królestwo Wichrów,Sirocco et le royaume des courants d'air,2023,7.05,20
1050,Myszy i ludzie,Of Mice and Men,1992,7.84077,22138
911,Human Traffic,Human Traffic,1999,7.36304,36401
103445,Kageroza,Kageroza,1981,7.24,50
872915,Juliet dans Paris,Juliet dans Paris,1967,6.95522,67
8423,Ostatni dzień lata,Ostatni dzień lata,1958,7.33594,9832
105084,L'Enfer,L'Enfer,1964,7.84127,63
31665,Ultrakrótkie,UHF,1989,6.54007,2583
10041406,Mnich i karabin,The Monk and the Gun,2023,6.86754,1457
159892,Sieci popołudnia,Meshes of the Afternoon,1943,7.81235,3304
10058545,"Rach, ciach!",Fixed,2025,5.29011,1789
10031860,Siostrzeństwo świętej sauny,Savvusanna sõsarad,2023,7.19243,4043
8096,Nieciekawa historia,Nieciekawa historia,1982,7.18987,1580
6700,Kartka z podróży,Kartka z podróży,1983,7.59741,1083
101741,Barwy granatu,Sayat Nova,1968,7.85863,4117
227395,Tobenai chinmoku,Tobenai chinmoku,1966,7.90909,66
30895,Apartament,L'Appartement,1996,7.17631,3403
730157,Kosmos,Cosmos,2015,6.14759,4465
10040950,Nocą w Nowym Jorku,Daddio,2023,6.7599,8255
139779,Bez słońca,Sans soleil,1983,7.51671,718
12048,Zwyczajni ludzie,Ordinary People,1980,7.0673,6478
5176,Poza prawem,Down by Law,1986,7.74922,18686
32709,Boy Meets Girl,Boy Meets Girl,1984,6.75906,552
9982,Szpital Przemienienia,Szpital Przemienienia,1978,7.80393,7844
32453,Żółty szalik,Żółty szalik,2000,7.69925,51548
11655,Widziadło,Widziadło,1983,5.74718,2219
203194,Spaleni słońcem 2,Utomlyonnye solntsem 2: Predstoyanie,2010,6.3619,2824
703,Spaleni słońcem,Utomlyonnye solntsem,1994,7.85858,24657
33307,Pootie Tang - pogromca zła,Pootie Tang,2001,4.86869,693
1252,Barton Fink,Barton Fink,1991,7.59702,29039
146417,"Klik: I robisz, co chcesz",Click,2006,6.46178,202356
4689,Córka górnika,Coal Miner's Daughter,1980,6.99912,1139
10008661,La chimera,La chimera,2023,6.83861,13297
10039421,Zła nie ma,Aku wa Sonzai Shinai,2023,6.4483,3317
10045876,Caillou,Caillou,2021,0,0
10035630,27,27,2023,5.82527,372
353546,Privarzaniyat balon,Privarzaniyat balon,1967,8.14286,7
221192,Jaskinia żołtego psa,Die Höhle des gelben Hundes,2005,7.84848,297
205982,Phase IV,Phase IV,1974,6.27689,437
281475,Kummatty,Kummatty,1979,7.4375,16
32452,Ptaki i ptaszyska,Uccellacci e uccellini,1966,7.14603,1260
36010,"Na los szczęścia, Baltazarze!",Au hasard Balthazar,1966,6.95949,3135
239626,Maynila: Sa mga kuko ng liwanag,Maynila: Sa mga kuko ng liwanag,1975,7.36449,214
10013448,Tsutsué,Tsutsué,2022,0,0
878125,Monkey Man,Monkey Man,2024,6.14948,5740
90356,Czerwony balonik,Le ballon rouge,1956,7.56087,2300
692197,Markiza Angelika,Angélique,2013,6.84205,6426
10040761,Café au lait,Café au lait,2022,0,0
765884,Les 10 Ans de 'La Haine',Les 10 Ans de 'La Haine',2005,8,1
5188,Drabina Jakubowa,Jacob's Ladder,1990,7.5522,41101
284374,Niepokój,Disturbia,2007,6.9798,87118
637,"Biegnij, Lola, biegnij",Lola rennt,1998,6.81299,51135
158,Przełamując fale,Breaking the Waves,1996,7.76595,47750
785550,Blask,Hikari,2017,6.38693,1592
111975,Nocny strażnik,Nattevagten,1994,6.81469,2164
792243,Mój piękny syn,Beautiful Boy,2018,7.33406,58453
10706,Wyrzutki,The Outsiders,1983,6.57291,5315
852038,Sukienka,Sukienka,2020,6.57648,4949
484466,Zrodzony w ogniu,Out of the Furnace,2013,6.72662,34158
95532,Podróż na Cyterę,Taxidi sta Kithira,1984,7.56345,394
179070,Senya Ichiya Monogatari,Senya Ichiya Monogatari,1969,6.79365,63
633150,"Co jest grane, Davis?",Inside Llewyn Davis,2013,6.68908,26788
824312,Długa podróż dnia ku nocy,Di Qiu Zui Hou De Ye Wan,2018,6.84846,1267
