serialId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite,comment
304751,Black Lagoon,Black Lagoon,2006,7.81176,4744,2012-08-03,8,tak,
95293,Jaś Fasola,Mr. Bean,1990,7.52724,73100,2012-08-01,8,nie,
476848,Gra o tron,Game of Thrones,2011,8.72618,424327,2012-07-31,9,nie,
469752,Kapitan Bomba,Kapitan Bomba,2007,7.36407,24347,2012-07-15,8,nie,
551288,Boso przez świat,Boso przez świat,2007,7.6494,34318,2012-06-18,,nie,
479538,Synowie Anarchii,Sons of Anarchy,2008,8.13237,61621,2012-03-27,8,nie,
547035,The Walking Dead,The Walking Dead,2010,7.7779,181182,2012-03-26,7,nie,
236096,Prison Break - Skazany na śmierć,Prison Break,2005,7.63452,227167,2012-02-10,8,tak,
617624,Trudne sprawy,Trudne sprawy,2011,2.62829,17589,2011-11-26,1,nie,
176611,Było sobie życie,Il Était une fois... la vie,1987,7.82051,34024,2011-07-19,,nie,
592322,Looney Tunes Show,The Looney Tunes Show,2011,7.78452,3643,2011-07-18,,nie,
550100,Szkoła przetrwania,Man vs. Wild,2006,7.61143,20197,2011-06-17,,nie,
10037,Pogromcy mitów,MythBusters,2003,7.71656,26866,2011-06-17,,nie,
367031,Włatcy móch,Włatcy móch,2006,5.88759,56997,2010-06-17,,nie,
202466,Niania,Niania,2005,6.5533,72154,2008-07-19,,nie,
94331,Miasteczko South Park,South Park,1997,7.90355,81142,2007-05-15,,nie,
119267,Jackass,Jackass,2000,7.18106,8649,2006-11-26,,nie,
279435,Detektywi,Detektywi,2005,4.35185,9072,2006-11-18,,nie,
304133,Sędzia Anna Maria Wesołowska,Sędzia Anna Maria Wesołowska,2006,3.33074,17485,2006-10-17,,nie,
99251,Komisarz Rex,Kommissar Rex,1994,6.44387,7973,2006-08-20,,nie,
108964,CSI: Kryminalne zagadki Miami,CSI: Miami,2002,7.15189,61947,2006-08-20,,nie,
208863,W11 - wydział śledczy,W11 - wydział śledczy,2004,4.69766,18641,2006-08-20,,nie,
344833,Galactik Football,Galactik Football,2006,7.19973,5973,2006-07-19,,nie,
90364,Tajemnice Smallville,Smallville,2001,7.11636,36826,2006-07-19,,nie,
416280,Jak to jest zrobione?,How It's Made,2001,7.55867,2608,2006-05-18,,nie,
243283,Green Green,Green Green,2003,6.46849,1571,2006-03-27,,nie,
95231,Detektyw Monk,Monk,2002,7.43552,80983,2005-12-25,,nie,
233754,Tabaluga,Tabaluga,1997,6.60341,10144,2005-11-19,,nie,
37531,Przystanek Alaska,Northern Exposure,1990,7.72768,30549,2005-08-20,,nie,
96162,Benny Hill,The Benny Hill Show,1969,6.46921,21713,2005-07-19,,nie,
92457,Świat według Bundych,Married... with Children,1987,6.63155,169112,2005-07-19,,nie,
38407,13 Posterunek 2,13 Posterunek 2,2000,7.08325,53619,2005-07-19,,nie,
106279,Naruto,Naruto,2002,7.92934,33330,2005-07-19,,nie,
104479,Miodowe lata,Miodowe lata,1998,7.07872,91894,2005-07-19,,nie,
30614,MacGyver,MacGyver,1985,7.25955,39391,2005-06-17,,nie,
103911,Rodzina zastępcza,Rodzina zastępcza,1999,6.43269,48279,2005-06-17,,nie,
212986,Dom dla wymyślonych przyjaciół pani Foster,Foster's Home for Imaginary Friends,2004,7.20697,11509,2004-12-18,,nie,
36607,Z Archiwum X,The X Files,1993,7.88269,103949,2004-08-27,,nie,
93837,Na Wspólnej,Na Wspólnej,2003,4.81178,36531,2004-07-19,,nie,
38365,13 Posterunek,13 Posterunek,1997,7.2358,127313,2004-07-19,,nie,
163766,Kaczor Dodgers,Duck Dodgers,2003,7.07527,5673,2004-06-18,,nie,
40074,Ostry dyżur,ER,1994,7.51937,51768,2004-06-18,,nie,
96171,Laboratorium Dextera,Dexter's Laboratory,1996,7.40899,39989,2004-06-18,,nie,
95067,Sąsiedzi,...A je to!,1976,7.5485,24691,2004-06-17,,nie,
94381,Bliźniaki Cramp,The Cramp Twins,2001,6.10625,7906,2004-06-17,,nie,
94336,Strażnik Teksasu,"Walker, Texas Ranger",1993,6.13828,24327,2004-06-17,,nie,
125073,Gęsia skórka,Goosebumps,1995,7.45598,14301,2004-06-17,,nie,
153439,Daleko od noszy,Daleko od noszy,2003,5.39689,34040,2004-05-09,,nie,
259066,Detektyw,Detektyw,2001,5.25943,663,2004-03-04,,nie,
229926,Dinusie,Dino Babies,1994,7.19427,489,2004-01-17,,nie,
210623,Listonosz Pat,Postman Pat,1981,5.48043,3603,2003-11-26,,nie,
112986,"Ach, ten Andy!",What's with Andy?,2001,7.20837,11249,2003-11-25,,nie,
124080,Inspektor Gadżet,Inspector Gadget,1983,6.36221,10770,2003-10-24,,nie,
140339,Wojownicze Żółwie Ninja,Teenage Mutant Ninja Turtles,1987,6.99669,7258,2003-08-19,,nie,
