gameId,polishTitle,originalTitle,year,fullRating,voteCount,voteDate,userRating,favorite
623317,Beach Life,Beach Life,2002,6.96023,352,2005-04-25,,nie
625687,Silent Storm,Silent Storm,2003,7.46154,143,2004-11-27,,nie
614629,Maluch Racer,Maluch Racer,2003,3.22468,543,2004-11-27,,nie
774501,Real War: Rogue States,Real War: Rogue States,2002,6,3,2004-11-24,,nie
612725,Zoo Tycoon,Zoo Tycoon,2001,7.19398,897,2004-11-24,,nie
611223,Soldier of Fortune,Soldier of Fortune,2000,7.56256,2238,2004-10-25,,nie
611842,The Sims: Gwiazda,The Sims: Superstar,2003,7.16832,1010,2004-10-24,,nie
611962,Emergency 2: The Ultimate Fight For Life,Emergency 2: The Ultimate Fight For Life,2002,6.92537,134,2004-10-24,,nie
624226,Hooligans: Europejska zadyma,Hooligans: Storm over Europe,2002,6,228,2004-10-24,,nie
607418,Colin McRae Rally 04,Colin McRae Rally 04,2003,7.32044,2353,2004-08-19,,nie
612031,Duke Nukem: Manhattan Project,Duke Nukem: Manhattan Project,2002,6.83726,1954,2004-07-24,7,nie
611163,Worms 2,Worms 2,1997,7.69174,2433,2004-06-30,,nie
607419,Delta Force: Helikopter w ogniu,Delta Force: Black Hawk Down,2003,6.78861,1159,2004-06-24,,nie
611288,Worms Armageddon,Worms Armageddon,1999,8.1957,15585,2004-06-20,,nie
612146,Sąsiedzi z piekła rodem,Böse Nachbarn,2003,7.39791,6127,2004-06-19,,nie
611604,Tactical Ops: Wojna z terrorem,Tactical Ops: Assault on Terror,2002,6.45509,167,2004-06-18,,nie
729671,Pokémon Blue Version,Pocket Monsters Blue,1996,8.24094,469,2004-06-18,,nie
608888,Quake III: Arena,Quake III: Arena,1999,7.90775,8260,2004-06-18,,nie
616994,Soldat,Soldat,2003,7.18236,669,2004-06-17,,nie
605963,Gothic,Gothic,2001,8.6616,26640,2004-06-17,,nie
614387,Evolva,Evolva,2000,6.4375,96,2004-06-17,,nie
612290,Kurka Wodna 3: Popłoch w kurniku,Kurka Wodna 3: Popłoch w kurniku,2003,6.19469,452,2004-06-17,,nie
611446,The Sims: Balanga,The Sims: House Party,2001,6.96314,1438,2003-12-30,,nie
611841,The Sims: Zwierzaki,The Sims: Unleashed,2002,7.30646,1439,2003-11-26,,nie
611676,The Sims,The Sims,2000,7.30247,12355,2003-10-24,,nie
611170,Worms World Party,Worms World Party,2001,8.11091,6014,2003-07-17,,nie
609933,Jazz Jackrabbit 2,Jazz Jackrabbit 2,1998,7.83784,3996,2003-06-25,,nie
610055,Duke Nukem 3D,Duke Nukem 3D,1996,8.16062,4850,2003-06-19,,nie
607645,Robin Hood: Legenda Sherwood,Robin Hood: The Legend of Sherwood,2002,7.87047,4694,2003-06-18,,nie
613146,Driver,Driver,1999,7.40916,2576,2003-05-25,,nie
608879,Return to Castle Wolfenstein,Return to Castle Wolfenstein,2001,8.13496,7113,2003-05-19,8,nie
670742,Ball Breakers,Ball Breakers,2000,5,3,2003-05-18,,nie
