Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22416,"Transmetropolitan, Vol. 1: Back on the Street",Warren Ellis,"Ellis, Warren","Darick Robertson, Darick Robertston, Garth Ennis, Rodney Ramos, Nathan Eyring, Patrick Stewart","=""1563894459""","=""9781563894459""",0,Vertigo,Paperback,144,1998,1998,,2023/11/05,to-read,to-read (#15),to-read,,,,0,0
36952615,On a Sunbeam,Tillie Walden,"Walden, Tillie",,"=""1250178134""","=""9781250178138""",0,First Second,Paperback,533,2018,2018,,2023/11/05,to-read,to-read (#14),to-read,,,,0,0
49612237,Les Indes fourbes,Alain Ayroles,"Ayroles, Alain",Juanjo Guarnido,"=""2756035734""","=""9782756035734""",0,Delcourt,Hardcover,160,2019,2019,,2023/11/05,to-read,to-read (#13),to-read,,,,0,0
8460218,Two Generals,Scott Chantler,"Chantler, Scott",,"=""0771019580""","=""9780771019586""",0,McClelland & Stewart,Hardcover,152,2010,2010,,2023/11/05,to-read,to-read (#12),to-read,,,,0,0
30753657,Alone,Christophe Chabouté,"Chabouté, Christophe",,"=""1501153323""","=""9781501153327""",0,Gallery Books,Paperback,384,2017,2008,,2023/11/05,to-read,to-read (#11),to-read,,,,0,0
1772910,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Olga Shartse,"=""""","=""""",0,,Paperback,82,1848,1848,,2023/08/20,to-read,to-read (#10),to-read,,,,0,0
21421770,Неточка Незванова,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,"=""5445301435""","=""9785445301431""",0,"Лениздат, Команда А",Paperback,224,,1849,,2023/07/30,to-read,to-read (#9),to-read,,,,0,0
29499014,"Goodnight Punpun Omnibus, Vol. 4",Inio Asano,"Asano, Inio",,"=""1421586231""","=""9781421586236""",4,VIZ Media LLC,Paperback,456,2016,2017,2023/07/01,2022/11/22,,,read,,,,1,0
44286195,The General Zapped an Angel,Howard Fast,"Fast, Howard",,"=""0062908448""","=""9780062908445""",0,EccoPress,Paperback,160,2019,1970,,2022/12/03,to-read,to-read (#8),to-read,,,,0,0
27406763,"Goodnight Punpun Omnibus, Vol. 3",Inio Asano,"Asano, Inio",,"=""1421586223""","=""9781421586229""",3,VIZ Media LLC,Paperback,440,2016,2016,2022/11/15,2022/09/10,,,read,,,,1,0
27406764,"Goodnight Punpun Omnibus, Vol. 2",Inio Asano,"Asano, Inio",,"=""1421586215""","=""9781421586212""",3,VIZ Media LLC,Paperback,424,2016,2007,2022/09/11,2022/09/10,,,read,,,,1,0
25986929,"Goodnight Punpun Omnibus, Vol. 1",Inio Asano,"Asano, Inio",,"=""1421586207""","=""9781421586205""",4,VIZ Media LLC,Paperback,426,2016,2006,2022/09/08,2022/08/06,,,read,,,,1,0
6043781,"Blood of Elves (The Witcher, #1)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""""","=""""",5,Hachette Book Group,Mass Market Paperback,398,2009,1994,2014/10/03,2018/10/23,,,read,,,,1,0
68453,"Czas pogardy (Saga o Wiedźminie, #2)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""8370540910""","=""9788370540913""",5,superNOWA,Paperback,319,1995,1995,2014/11/04,2018/10/23,,,read,,,,1,0
1876770,"Chrzest ognia (Saga o Wiedźminie, #3)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""""","=""""",3,SuperNOWA,Paperback,336,1996,1996,2014/11/28,2018/10/23,,,read,,,,1,0
68455,"Wieża Jaskółki (Saga o Wiedźminie, #4)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""8370541240""","=""9788370541248""",4,superNOWA,Paperback,428,2001,1997,2014/12/21,2018/10/23,,,read,,,,1,0
1876829,"Coś się kończy, coś się zaczyna",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""8370541445""","=""9788370541446""",0,SuperNOWA,Paperback,299,2001,1988,2012/05/13,2020/05/20,,,read,,,,1,0
40603587,"The Last Wish (The Witcher, #0.5)",Andrzej Sapkowski,"Sapkowski, Andrzej",Danusia Stok,"=""""","=""""",3,Orbit,ebook,400,2008,1993,2011/08/14,2018/10/23,,,read,,,,1,0
6563886,Jądro ciemności,Joseph Conrad,"Conrad, Joseph",Patrycja Jabłońska,"=""8375171190""","=""9788375171198""",0,Greg,Hardcover,96,2012,1899,2014/03/18,2020/06/11,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",2,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2018/04/23,2018/10/23,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",1,HarperCollins,Paperback,197,1993,1988,2016/10/14,2018/10/23,,,read,,,,1,0
68452,"Pani Jeziora (Saga o Wiedźminie, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",,"=""8370541291""","=""9788370541293""",5,superNOWA,Paperback,520,2001,1999,2015/01/15,2018/10/23,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,Houghton Mifflin Harcourt,ebook,298,2013,1948,2018/10/23,2018/10/23,,,read,,,,1,0
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0307347974""","=""9780307347978""",3,DeBolsillo,Mass Market Paperback,158,2004,1953,2018/10/23,2018/10/23,,,read,,,,1,0
