Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Joseph Frank, Anna Brailovsky, Constance Garnett","=""0679642420""","=""9780679642428""",4,Modern Library,Paperback,667,2003,1869,2020/08/07,2020/07/20,,,read,,,,1,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,Knopf,Paperback,607,1997,1994,,2020/07/19,to-read,to-read (#4),to-read,,,,0,0
5695,Demons,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""""","=""""",3,Vintage,Paperback,733,1995,1872,2020/07/16,2020/05/20,,,read,,,,1,0
9447145,Katar,Stanisław Lem,"Lem, Stanisław",,"=""8308019196""","=""""",2,Wydawnictwo Literackie,Paperback,176,1988,1976,2020/07/06,2020/07/02,,,read,,,,1,0
1451628,Inne Pieśni,Jacek Dukaj,"Dukaj, Jacek",,"=""8308034810""","=""9788308034811""",0,Wydawn. Literackie,Paperback,627,2003,2003,,2020/07/01,to-read,to-read (#3),to-read,,,,0,0
251633,The Invincible,Stanisław Lem,"Lem, Stanisław",Wendayne Ackerman,"=""0283979623""","=""9780283979620""",4,Sidgwick & Jackson (London),Paperback,223,1973,1964,2020/07/01,2020/06/26,,,read,,,,1,0
2392113,"Czarownik Iwanow (Kroniki Jakuba Wędrowycza, #2)",Andrzej Pilipiuk,"Pilipiuk, Andrzej",,"=""8389011271""","=""9788389011275""",3,Fabryka Słów,Paperback,232,2003,2002,2020/06/26,2020/06/24,,,read,,,,1,0
2373909,"Kroniki Jakuba Wędrowycza (Kroniki Jakuba Wędrowycza, #1)",Andrzej Pilipiuk,"Pilipiuk, Andrzej",,"=""8360505845""","=""9788360505847""",2,Fabryka Słów,Paperback,296,2007,2001,2020/06/24,2020/06/06,,,read,,,,1,0
6202594,Dżuma,Albert Camus,"Camus, Albert",Joanna Guze,"=""""","=""""",0,Państwowy Instytut Wydawniczy,Paperback,199,1995,1947,2010/01/01,2020/06/22,,,read,,,,1,0
6106976,Wyjście z cienia,Janusz A. Zajdel,"Zajdel, Janusz A.",,"=""8370541933""","=""9788370541934""",3,SuperNOWA,Paperback,190,2007,1983,2020/06/16,2020/06/11,,,read,,,,1,0
2108183,Cylinder van Troffa,Janusz A. Zajdel,"Zajdel, Janusz A.",,"=""""","=""""",3,Krajowa Agencja Wydawnicza,Unknown Binding,140,1990,1980,2020/06/14,2020/06/11,,,read,,,,1,0
3244048,Mały Książę,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Halina Szwykowska,"=""""","=""9788374952750""",0,Muza,hardcover,94,2007,1943,2009/01/01,2020/06/13,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0743477111""","=""9780743477116""",0,Washington Square Press,Mass Market Paperback,281,2002,1590,2011/01/01,2020/06/12,,,read,,,,1,0
601238,"The Colour of Magic (Discworld, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0552124753""","=""9780552124751""",0,Corgi,Mass Market Paperback,287,1990,1983,,2020/06/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
52536281,Mała syrena & Czerwone trzewiczki,Hans Christian Andersen,"Andersen, Hans Christian",John Patience,"=""""","=""""",0,,Hardcover,,,1992,2005/01/01,2020/06/11,,,read,,,,1,0
342994,The Little Match Girl,Hans Christian Andersen,"Andersen, Hans Christian",Rachel Isadora,"=""0439643635""","=""9780439643634""",0,"Scholastic, Inc.",Paperback,32,2003,1845,2005/01/01,2020/06/11,,,read,,,,1,0
1291920,The Red Shoes,Barbara Bazilian,"Bazilian, Barbara",Hans Christian Andersen,"=""1879085569""","=""9781879085565""",0,Charlesbridge,Hardcover,32,1997,1845,2005/01/01,2020/06/11,,,read,,,,1,0
22890615,Calineczka,Hans Christian Andersen,"Andersen, Hans Christian","Stefania Beylin, Elzbieta Gaudasinska","=""""","=""""",0,Krajowa Agencja Wydawnicza,Paperback,,1980,1835,2005/01/01,2020/06/11,,,read,,,,1,0
773788,W pustyni i w puszczy,Henryk Sienkiewicz,"Sienkiewicz, Henryk",,"=""8373899626""","=""""",0,Zielona Sowa,Hardcover,280,2003,1911,,2020/06/11,,,read,,,,1,0
10345227,Trzej muszkieterowie,Alexandre Dumas,"Dumas, Alexandre",Dorota Rybicka,"=""8372553297""","=""9788372553294""",0,Prószyński i S-ka,Paperback,763,1999,1844,2007/01/01,2020/06/11,,,read,,,,1,0
10711792,Bajki i przypowieści,Ignacy Krasicki,"Krasicki, Ignacy",,"=""""","=""""",0,,Nook,0,,1779,2009/01/01,2020/06/11,,,read,,,,1,0
37843808,Reduta Ordona,Adam Mickiewicz,"Mickiewicz, Adam",,"=""""","=""""",0,NetPress Digital Sp. z o.o.,Unknown Binding,35,1997,1832,2009/01/01,2020/06/11,,,read,,,,1,0
1264957,Syzyfowe prace,Stefan Żeromski,"Żeromski, Stefan",,"=""8372556350""","=""9788372556356""",0,Prószyński i S-ka,Paperback,238,2000,1898,2009/01/01,2020/06/11,,,read,,,,1,0
1841669,Zemsta,Aleksander Fredro,"Fredro, Aleksander",,"=""8373896791""","=""9788373896796""",0,Zielona Sowa,Hardcover,120,2007,1838,2011/01/01,2020/06/11,,,read,,,,1,0
